VCD info: dumpfile test.vcd opened for output.
   0 CK:0 CE:0 AR:1 CO:x Q:xxxxxxxx
 206 CK:1 CE:1 AR:1 CO:0 Q:01001001
 208 CK:0 CE:1 AR:1 CO:0 Q:01001001
 210 CK:1 CE:1 AR:1 CO:0 Q:01010000
 212 CK:0 CE:1 AR:1 CO:0 Q:01010000
 214 CK:1 CE:1 AR:1 CO:0 Q:01010001
 216 CK:0 CE:1 AR:1 CO:0 Q:01010001
 218 CK:1 CE:1 AR:1 CO:0 Q:01010010
 220 CK:0 CE:1 AR:1 CO:0 Q:01010010
 222 CK:1 CE:1 AR:1 CO:0 Q:01010011
 224 CK:0 CE:1 AR:1 CO:0 Q:01010011
 226 CK:1 CE:1 AR:1 CO:0 Q:01010100
 228 CK:0 CE:1 AR:1 CO:0 Q:01010100
 230 CK:1 CE:1 AR:1 CO:0 Q:01010101
 232 CK:0 CE:1 AR:1 CO:0 Q:01010101
 234 CK:1 CE:1 AR:1 CO:0 Q:01010110
 236 CK:0 CE:1 AR:1 CO:0 Q:01010110
 238 CK:1 CE:1 AR:1 CO:0 Q:01010111
 240 CK:0 CE:1 AR:1 CO:0 Q:01010111
 242 CK:1 CE:1 AR:1 CO:0 Q:01011000
 244 CK:0 CE:1 AR:1 CO:0 Q:01011000
 246 CK:1 CE:1 AR:1 CO:0 Q:01011001
 248 CK:0 CE:1 AR:1 CO:0 Q:01011001
 250 CK:1 CE:1 AR:1 CO:0 Q:01100000
 252 CK:0 CE:1 AR:1 CO:0 Q:01100000
 254 CK:1 CE:1 AR:1 CO:0 Q:01100001
 256 CK:0 CE:1 AR:1 CO:0 Q:01100001
 258 CK:1 CE:1 AR:1 CO:0 Q:01100010
 260 CK:0 CE:1 AR:1 CO:0 Q:01100010
 262 CK:1 CE:1 AR:1 CO:0 Q:01100011
 264 CK:0 CE:1 AR:1 CO:0 Q:01100011
 266 CK:1 CE:1 AR:1 CO:0 Q:01100100
 268 CK:0 CE:1 AR:1 CO:0 Q:01100100
 270 CK:1 CE:1 AR:1 CO:0 Q:01100101
 272 CK:0 CE:1 AR:1 CO:0 Q:01100101
 274 CK:1 CE:1 AR:1 CO:0 Q:01100110
 276 CK:0 CE:1 AR:1 CO:0 Q:01100110
 278 CK:1 CE:1 AR:1 CO:0 Q:01100111
 280 CK:0 CE:1 AR:1 CO:0 Q:01100111
 282 CK:1 CE:1 AR:1 CO:0 Q:01101000
 284 CK:0 CE:1 AR:1 CO:0 Q:01101000
 286 CK:1 CE:1 AR:1 CO:0 Q:01101001
 288 CK:0 CE:1 AR:1 CO:0 Q:01101001
 290 CK:1 CE:1 AR:1 CO:0 Q:01110000
 292 CK:0 CE:1 AR:1 CO:0 Q:01110000
 294 CK:1 CE:1 AR:1 CO:0 Q:01110001
 296 CK:0 CE:1 AR:1 CO:0 Q:01110001
 298 CK:1 CE:1 AR:1 CO:0 Q:01110010
 300 CK:0 CE:1 AR:1 CO:0 Q:01110010
 302 CK:1 CE:1 AR:1 CO:0 Q:01110011
 304 CK:0 CE:1 AR:1 CO:0 Q:01110011
 306 CK:1 CE:1 AR:1 CO:0 Q:01110100
